Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
2018101051,F,35.25,4.53,Bachelor,Unmarried,China,20060010,1
2018101076,F,29.61,4.50,Bachelor,Unmarried,China,20060010,1
2018111081,F,36.10,4.44,Master,Unmarried,China,20060010,1
2018120027,F,40.35,4.33,Bachelor,Married,China,20060010,1
2018120100,F,26.18,3.66,Bachelor,Unmarried,China,20060040,1
2019010161,F,37.90,4.21,Bachelor,Unmarried,China,20060010,1
2019010163,F,43.85,4.21,Bachelor,Married,China,20060010,1
2019034071,F,28.27,4.06,Bachelor,Unmarried,China,20069031,1
2019040094,F,31.14,3.99,Bachelor,Unmarried,China,20069051,1
2019050160,F,45.32,3.92,Bachelor,Married,China,20069031,0
2019050166,F,26.77,3.95,Bachelor,Unmarried,China,20069031,0
2019050201,F,26.98,3.91,Bachelor,Unmarried,China,20060010,1
2019050202,F,32.02,3.91,Bachelor,Unmarried,China,20060040,1
2019060258,F,30.72,3.89,Bachelor,Unmarried,China,20060010,1
2019060261,F,41.16,3.87,Bachelor,Married,China,20060010,1
2019060264,F,36.32,3.83,Bachelor,Married,China,20060040,1
2019060284,M,40.57,3.83,Bachelor,Married,China,20060010,1
2019060287,F,29.28,3.83,Bachelor,Unmarried,China,20069031,1
2019070018,F,30.57,3.79,Bachelor,Unmarried,China,20060010,1
2019080173,M,32.88,3.70,Bachelor,Married,China,20060010,1
2019080260,F,39.32,3.60,Bachelor,Unmarried,China,20060040,1
2019090273,F,29.10,3.64,Bachelor,Married,China,20060040,1
2019100009,F,32.16,3.54,Bachelor,Unmarried,China,20060040,1
2019100011,F,29.62,3.53,Bachelor,Unmarried,China,20069031,0
2019110013,M,47.87,3.50,Bachelor,Unmarried,Malaysia,20069031,0
2019110024,F,31.61,3.50,Bachelor,Unmarried,China,20069031,0
2019110035,F,34.78,3.40,Master,Unmarried,China,20060040,1
2019120008,F,33.09,3.37,Bachelor,Married,China,20060040,1
2020020094,M,40.34,3.14,Bachelor,Married,China,20069031,0
2020030057,F,29.77,3.08,Master,Unmarried,China,20060010,1
2020040025,F,28.50,3.02,Bachelor,Unmarried,China,20069031,1
2020060043,F,27.72,2.83,Bachelor,Unmarried,China,20060010,1
2020060076,M,47.35,2.84,Master,Married,China,20060010,1
2020060092,F,33.44,2.78,Master,Married,China,20060010,1
2020060096,F,28.87,2.76,Bachelor,Unmarried,China,20069031,1
2020070036,F,27.46,2.73,Bachelor,Unmarried,China,20060010,1
2020090036,F,27.20,2.66,Bachelor,Unmarried,China,20060010,1
2020100017,F,29.73,2.55,Bachelor,Unmarried,China,20069021,0
2020110111,F,30.01,2.43,Bachelor,Unmarried,China,20060040,1
2020110156,F,31.22,2.44,Bachelor,Unmarried,China,20069021,0
2020120016,F,26.97,2.41,Bachelor,Unmarried,China,20069041,0
2020120030,M,34.87,2.29,Master,Married,China,20060040,1
2021010075,F,33.51,2.24,Bachelor,Unmarried,China,20069051,0
2021010098,F,33.51,2.29,Master,Unmarried,China,20069031,0
2021010126,M,35.19,2.24,Master,Unmarried,China,20060010,1
2021020059,F,28.35,2.19,Bachelor,Unmarried,China,20060010,1
2021020118,F,35.05,2.18,Master,Unmarried,China,20060010,1
2021030146,F,35.71,2.13,Bachelor,Married,China,20060040,1
2021030147,F,28.17,2.16,Bachelor,Unmarried,China,20060040,1
2021030304,F,28.10,2.07,Bachelor,Unmarried,China,20060010,1
